code,name,level_0,eps,roe,fcff,ocf_to_profit,free_cashflow,grossprofit_margin,debt_to_assets,current_ratio,industry_name_L1_L2_L3
SH600016,民生银行,10,0.7407182722640135,0.46032516379519534,0.9987867022567338,0.028633826741082263,0.9987867022567338,0.0300897840330017,0.9781606406212084,0.006309148264984227,0.9386550308008214
SH600038,中直股份,29,0.8917738413006552,0.5736471730162582,0.04586265469546227,0.052171802960446496,0.04586265469546227,0.1528755156515409,0.8349915069157972,0.37612230041252126,0.3447125256673511
SH600053,九鼎投资,35,0.40281485076437756,0.2892501819946615,0.16185391895171075,0.01892744479495268,0.16185391895171075,0.9995146809026936,0.15336083474884737,0.7995632128124242,0.10485112936344969
SH600058,五矿发展,40,0.29458869206503274,0.32783305023052656,0.48871633098762435,0.07789371511768989,0.48871633098762435,0.04901722882795438,0.8699344819218636,0.3193399660276632,0.8548511293634496
SH600061,国投资本,43,0.8240718272264014,0.6204804659063334,0.012375636981315215,0.05848095122543072,0.012375636981315215,0.06915797136617326,0.9269594758553749,0.35962145110410093,0.10844455852156057
SH600064,南京高科,46,0.9327833050230526,0.8553749090026692,0.021596699830138316,0.04828925018199466,0.021596699830138316,0.755884494054841,0.7321038582868236,0.20990050958505216,0.45290041067761805
SH600094,大名城,70,0.37976219364231983,0.29701528755156514,0.022809997573404513,0.01819946614899296,0.022809997573404513,0.29143411793254065,0.8073283183693278,0.5617568551322495,0.4667607802874743
SH600100,同方股份,76,0.19461295801989809,0.162096578500364,0.017714147051686484,0.025721912157243388,0.017714147051686484,0.3911671924290221,0.8565882067459355,0.25236593059936907,0.8323921971252567
SH600109,国金证券,84,0.6978888619267168,0.5589662703227372,0.38971123513710265,0.038097549138558603,0.38971123513710265,0.0300897840330017,0.8507643775782577,0.6102887648628974,0.8444558521560575
SH600118,中国卫星,93,0.492356224217423,0.4348459111866052,0.18393593787915555,0.08905605435573889,0.18393593787915555,0.20262072312545498,0.3722397476340694,0.6665857801504489,0.3385523613963039
SH600120,浙江东方,95,0.5826255763164281,0.4942975006066489,0.8878912885222033,0.09536520262072312,0.8878912885222033,0.06454743994176171,0.5782577044406697,0.3445765590876001,0.10485112936344969
SH600127,金健米业,101,0.19255035185634556,0.27117204561999514,0.5634554719728221,0.016986168405726764,0.5634554719728221,0.06503275903906819,0.8556175685513225,0.1977675321523902,0.16183264887063656
SH600130,波导股份,104,0.2032273719970881,0.31436544528027177,0.28342635282698375,0.02038340208687212,0.28342635282698375,0.06770201407425382,0.22834263528269838,0.7886435331230284,0.5803388090349076
SH600156,华升股份,124,0.2592817277359864,0.3630186847852463,0.2856102887648629,0.07813637466634311,0.2856102887648629,0.06891531181752002,0.5486532395049745,0.6551807813637467,0.748588295687885
SH600165,新日恒力,132,0.19133705411307936,0.23804901722882796,0.14826498422712933,0.001941276389225916,0.14826498422712933,0.18272264013588935,0.7966512982285853,0.06794467362290706,0.1839065708418891
SH600173,卧龙地产,140,0.7328318369327833,0.8619267168163067,0.08905605435573889,0.08954137345304537,0.08905605435573889,0.8531909730647901,0.7692307692307693,0.39699102159669986,0.4667607802874743
SH600179,安通控股,144,0.7791798107255521,0.9932055326377093,0.06527541858772143,0.07085658820674594,0.06527541858772143,0.014074253821887891,0.3397233681145353,0.48264984227129337,0.6076745379876797
SH600186,莲花健康,150,0.21608832807570977,0.932055326377093,0.057024993933511285,0.006066488716330988,0.057024993933511285,0.29386071341907305,0.9703955350643048,0.06891531181752002,0.9779260780287474
SH600187,国中水务,151,0.1652511526328561,0.1749575345789857,0.23804901722882796,0.004367871875758311,0.23804901722882796,0.6500849308420287,0.2693520990050958,0.6896384372725066,0.6160164271047228
SH600193,创兴资源,157,0.3285610288764863,0.9403057510313031,0.2899781606406212,0.0681873331715603,0.2899781606406212,0.15894200436787187,0.9165251152632856,0.2083232225188061,0.44686858316221767
SH600199,金种子酒,162,0.2911914583838874,0.24654210143169134,0.10798349915069158,0.013346275175928173,0.10798349915069158,0.5246299441883038,0.24290220820189273,0.7729919922348945,0.9921714579055442
SH600202,哈空调,165,0.31982528512496966,0.4998786702256734,0.5539917495753458,0.03542829410337297,0.5539917495753458,0.32831836932783304,0.8747876728949284,0.25843241931570005,0.7026437371663244
SH600206,有研新材,167,0.3994176170832322,0.3986896384372725,0.41810240232953166,0.09002669255035185,0.41810240232953166,0.05969424896869692,0.14074253821887892,0.9097306479009949,0.308264887063655
SH600243,青海华鼎,201,0.2419315700072798,0.25236593059936907,0.6022809997573404,0.023295316670710994,0.6022809997573404,0.10385828682358651,0.32759039068187334,0.6115020626061636,0.8862936344969199
SH600248,陕西建工,203,0.8046590633341422,0.9767046833292891,0.9759767046833293,0.05484105799563213,0.9759767046833293,0.09415190487745692,0.9708808541616113,0.19521960689153117,0.4233829568788501
SH600251,冠农股份,206,0.5052171802960447,0.669740354282941,0.03470031545741325,0.01480223246784761,0.03470031545741325,0.27347731133220093,0.705168648386314,0.30914826498422715,0.16106262833675564
SH600257,大湖股份,210,0.15226886677990778,0.15311817520019413,0.4353312302839117,0.04295074011162339,0.4353312302839117,0.45231739868963844,0.38679932055326377,0.46954622664401846,0.1510523613963039
SH600266,城建发展,217,0.6010677020140742,0.36932783305023054,0.019412763892259162,0.061150206260616354,0.019412763892259162,0.6440184421256977,0.936180538704198,0.6847852462994419,0.4667607802874743
SH600284,浦东建设,233,0.6093181266682844,0.485319097306479,0.2904634797379277,0.038582868235865084,0.2904634797379277,0.1099247755399175,0.7733559815578743,0.38971123513710265,0.43634496919917864
SH600290,ST华仪,238,0.2032273719970881,0.27347731133220093,0.25333656879398203,0.00994904149478282,0.25333656879398203,0.5622421742295559,0.8975976704683329,0.14316913370541132,0.7054671457905544
SH600302,标准股份,248,0.5826255763164281,0.7422955593302596,0.1749575345789857,0.026935209900509585,0.1749575345789857,0.41785974278087845,0.4535306964329046,0.6500849308420287,0.030544147843942507
